number ,phylo name ,nasal_l,nasal_r,maxilla_vl,maxilla_vr
1,Agorophiidae_indet_ChM_PV5852,,,,
2,Agorophius_pygmaeus,,,,
3,Albertocetus_sp_ChM_PV4834,,,,
4,Albireo_whistleri,,,,
5,Aprixokogia_kelloggi,1,67,,
6,Argyrocetus_joaquinensis,,,,
7,Atocetus_iquensis,,,,
8,Aulophyseter_morricei,,,,
9,Berardius_arnuxii,,,,
10,Berardius_bairdii,,,,
11,Berardius_minimus,,,,
12,Brachydelphis_mazeasi,,,,
13,Cephalorhynchus_commersoni,,,,
14,Cephalorhynchus_eutropia,,,,
15,Cephalorhynchus_heavisidii,,,,
16,Cephalorhynchus_hectori,,,,
17,Cephalorhynchus_hectori_maui,,,,
18,Chavinziphius_maxillocristatus,,,,
19,Chilcacetus_cavirhinus,,,,
20,Cotylocara_macei,,,,
21,Delphinapterus_leucas,,,,
22,Delphinodon_dividum,,,,
23,Delphinus_capensis,,,,
24,Delphinus_delphis,,,,
25,Dilophodelphis_fordycei,,,,
26,Echovenator_sandersi,,,,
27,Etruridelphis_giulii,,,,
28,Eurhinodelphis_cocheteuxi,,,,
29,Eurhinodelphis_longirostris,,,,
30,Feresa_attenuata,,,,
31,Globicephala_etruriae,,,,
32,Globicephala_macrorhynchus,,,,
33,Globicephala_melas,,,,
34,Goedertius_oregonensis,,,,
35,Grampus_griseus,,,,
36,Hadrodelphis_calvertense,,,,
37,Hadrodelphis_poseidon,,,,
38,Hemisyntrachelus_cortesii,,,,
39,Huaridelphis_raimondii,,,,
40,Hyperoodon_ampullatus,,,,
41,Hyperoodon_planifrons,,,,
42,Indopacetus_pacificus,,,,
43,Inia_geoffrensis,,,,
44,Kampholophos_serrulus,,,,
45,Kentriodon_fuchsii,,,,
46,Kentriodon_hobetsu,,,,
47,Kentriodon_pernix,,,,
48,Kentriodon_schneideri,,,,
49,Kogia_breviceps,1,67,,
50,Kogia_sima,1,67,,
51,Koristocetus_pescei,1,67,,
52,Lagenodelphis_hosei,,,,
53,Lagenorhynchus_albirostris,,,,
54,Lagenorhynchus_obliquidens,,,,
55,Leucopleurus_acutus,,,,
56,Lipotes_vexillifer,,,,
57,Lissodelphis_borealis,,,,
58,Lissodelphis_peronii,,,,
59,Livyatan_melvillei,,,,
60,Lomacetus_ginsburgi,,,,
61,Macrokentriodon_morani,,,,
62,Macrosqualodelphis_ukupachai,,,,
63,Mesoplodon_bidens,,,,
64,Mesoplodon_bowdoini,,,,
65,Mesoplodon_carlhubbsi,,,,
66,Mesoplodon_densirostris,,,,
67,Mesoplodon_europaeus,,,,
68,Mesoplodon_ginkgodens,,,,
69,Mesoplodon_grayi,,,,
70,Mesoplodon_hectori,,,,
71,Mesoplodon_hotaula,,,,
